id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35876191,欢迎来到王之国,,https://dou.img.lithub.cc/movie/35876191.jpg,2023-06-17(韩国),https://movie.douban.com/subject/35876191/,6.5,"喜剧,爱情",4,哎哟，这撒娇，伐得聊！,,2023-07-28 21:07:44,2023 / 韩国 / 喜剧 爱情 / 林贤旭 / 李俊昊 林允儿
35524438,命案,,https://dou.img.lithub.cc/movie/35524438.jpg,2023-04-20(中国香港),https://movie.douban.com/subject/35524438/,7.3,"剧情,犯罪",2,被教育,,2023-07-28 11:01:20,2023 / 中国香港 / 剧情 犯罪 / 郑保瑞 / 林家栋 杨乐文
35705832,八尺门的辩护人,,https://dou.img.lithub.cc/movie/35705832.jpg,2023-07-02(中国台湾),https://movie.douban.com/subject/35705832/,8.5,"剧情,悬疑",4,所以，最后还是sha了？,,2023-07-26 12:55:43,2023 / 中国台湾 / 剧情 悬疑 / 唐福睿 / 李铭顺 范逸臣
35724630,恶鬼,,https://dou.img.lithub.cc/movie/35724630.jpg,2023-06-23(韩国),https://movie.douban.com/subject/35724630/,7.8,"悬疑,惊悚",4,,,2023-07-24 11:03:51,2023 / 韩国 / 悬疑 惊悚 / 李正林 / 金泰梨 吴正世
35056376,惊天营救2,,https://dou.img.lithub.cc/movie/35056376.jpg,2023-06-16(美国网络),https://movie.douban.com/subject/35056376/,7.5,"动作,惊悚",3,黑帮有点菜,,2023-07-22 15:47:23,2023 / 美国 / 动作 惊悚 / 山姆·哈格雷夫 / 克里斯·海姆斯沃斯 格什菲·法拉哈尼
35813934,东北警察故事2,,https://dou.img.lithub.cc/movie/35813934.jpg,2023-07-08(中国大陆网络),https://movie.douban.com/subject/35813934/,7.2,"剧情,动作,犯罪",4,拳拳到肉！,,2023-07-21 08:28:36,2023 / 中国大陆 / 剧情 动作 犯罪 / 秦鹏飞 杨秉佳 / 谢苗 张皓森
35312421,鲸,,https://dou.img.lithub.cc/movie/35312421.jpg,2022-09-04(威尼斯电影节),https://movie.douban.com/subject/35312421/,8,"剧情,同性",4,女儿是生命最后的一道曙光,,2023-07-11 09:53:57,2022 / 美国 / 剧情 同性 / 达伦·阿伦诺夫斯基 / 布兰登·费舍 萨迪·辛克
35807273,犯罪都市3,,https://dou.img.lithub.cc/movie/35807273.jpg,2023-05-31(韩国),https://movie.douban.com/subject/35807273/,6.5,"动作,犯罪",3,配个啤酒，流水片,,2023-07-07 09:15:11,2023 / 韩国 / 动作 犯罪 / 李相龙 / 马东锡 李浚赫
35468745,羊毛战记 第一季,,https://dou.img.lithub.cc/movie/35468745.jpg,2023-05-05(美国),https://movie.douban.com/subject/35468745/,7.8,"剧情,科幻",4,额，10集开了个头！,,2023-07-06 21:51:21,2023 / 美国 / 剧情 科幻 / 莫滕·泰杜姆 / 丽贝卡·弗格森 大卫·奥伊罗
35660795,消失的她,,https://dou.img.lithub.cc/movie/35660795.jpg,2023-06-22(中国大陆),https://movie.douban.com/subject/35660795/,6.4,"悬疑,犯罪",3,嗨剧，被倪妮惊艳,,2023-07-01 07:56:40,2022 / 中国大陆 / 悬疑 犯罪 / 崔睿 刘翔 / 朱一龙 倪妮
